,insurance_exp,operation_exp,insurance_income,reinsurance_exp,reinsurance_income,underwriting_profit,investment_profit
Hontai Life 18,1216914.0,783344.0,24291792.0,281104.0,4558.0,177260628.0,9859835.0
Chunghwa Post 18,406313.0,3154584.0,133679507.0,0.1,0.1,169106742.0,16464280.0
First-Aviva Life 18,909883.0,668007.0,12971658.0,48728.0,0.1,187034524.0,484739.0
Hontai Life 19,1691645.0,789390.0,23577350.0,292738.0,4479.0,190660846.0,10575954.0
First-Aviva Life 19,858192.0,683817.0,13417093.0,58940.0,4.0,200856075.0,980855.0
Bank Taiwan Life 20,1003583.0,1135702.0,44978147.0,149332.0,0.1,196260345.0,10102824.0
Taiwan Life 20,13993413.0,5971964.0,167813016.0,1910045.0,0.1,156111236.0,71771715.0
Cathay Life 20,33518920.0,30009512.0,575921085.0,2355053.0,110139.0,0.1,258686055.0
China Life 20,9222321.0,6540769.0,245194149.0,1436951.0,0.1,156291802.0,69731066.0
Nan Shan Life 20,17107760.0,23077620.0,370542174.0,3435813.0,0.1,63773948.0,186848820.0
Shin Kong Life 20,9143974.0,16953277.0,296399138.0,1576601.0,0.1,98105345.0,112243096.0
Fubon Life 20,20178174.0,20795358.0,498779352.0,1867834.0,0.1,88715589.0,185723057.0
Hontai Life 20,1941072.0,836794.0,19213911.0,333659.0,5791.0,199016774.0,11582947.0
Chunghwa Post 20,575581.0,3160169.0,118506126.0,0.1,0.1,185060620.0,24578112.0
First-Aviva Life 20,705102.0,779590.0,13548385.0,68081.0,0.1,209396942.0,1312731.0
BNP Paribas Cardif TCB 20,953781.0,875486.0,4728513.0,255641.0,0.1,210713916.0,922408.0
CIGNA 20,1039318.0,2832921.0,10469223.0,691562.0,0.1,211210602.0,293566.0
Cardif 20,3719090.0,1866535.0,11286644.0,391440.0,0.1,212785910.0,558255.0
