,insurance_exp,operation_exp,insurance_income,reinsurance_exp,reinsurance_income,underwriting_profit,investment_profit
Bank Taiwan Life 14,1858695.0,1212299.0,35069280.0,68931.0,3908.0,-12209302.0,11419394.0
Taiwan Life 14,2540031.0,3738981.0,66374029.0,3312625.0,0.0,-15759054.0,17963666.0
PCA Life 14,1817157.0,2118450.0,20088915.0,240638.0,-31.0,-5354739.0,5877153.0
Cathay Life 14,32215148.0,19410943.0,485029222.0,9896021.0,200487.0,-135560685.0,168490359.0
China Life 14,9512093.0,3701621.0,145402374.0,1027796.0,-34.0,-32096759.0,38934338.0
Nan Shan Life 14,18230773.0,20268448.0,376763791.0,6811074.0,0.0,-94330742.0,117302413.0
Shin Kong Life 14,8632077.0,14993630.0,202722230.0,1816912.0,46264.0,-74832283.0,77213578.0
Fubon Life 14,23229490.0,14569529.0,397453793.0,5595693.0,5128.0,-68665244.0,109740072.0
Global Life 14,893216.0,452397.0,8525239.0,1353005.0,0.0,-4890289.0,1463123.0
Mercuries Life 14,11064746.0,4940882.0,125525218.0,5313823.0,0.0,-21864002.0,24250974.0
Chaoyang Life 14,802498.0,305449.0,4260315.0,78365.0,1733.0,-1620829.0,2369125.0
Singfor Life 14,504421.0,691580.0,6592994.0,119534.0,0.0,-2969057.0,1184636.0
Farglory Life 14,3696542.0,1831604.0,36881683.0,4840923.0,4766.0,-8844896.0,12825876.0
Hontai Life 14,796280.0,614236.0,19721684.0,263982.0,3465.0,-8112828.0,7101967.0
Allianz Taiwan Life 14,3143472.0,1705366.0,9894285.0,873682.0,0.0,-1327426.0,962999.0
Chunghwa Post 14,486901.0,2983176.0,148768657.0,0.0,0.0,-19713767.0,19464227.0
First-Aviva Life 14,613903.0,422460.0,2217996.0,19945.0,0.0,-315942.0,300859.0
BNP Paribas Cardif TCB 14,1045769.0,586217.0,3276082.0,57262.0,0.0,-922720.0,1305516.0
CTBC Life 14,10848373.0,2351759.0,115671134.0,653209.0,-2.0,-10516109.0,11896994.0
Prudential of Taiwan 14,868482.0,1638543.0,12577660.0,381273.0,598165.0,-2026859.0,2738781.0
CIGNA 14,1158053.0,2432072.0,8552469.0,13224.0,0.0,342214.0,177722.0
Yuanta Life 14,1625955.0,972855.0,14094822.0,524407.0,0.0,-3176373.0,2790131.0
TransGlobe Life 14,5418251.0,3400437.0,73348125.0,878734.0,-22.0,-24501750.0,25828037.0
AIA Taiwan 14,1001877.0,1553357.0,6790128.0,346392.0,0.0,-1495753.0,945192.0
Cardif 14,4657475.0,1227705.0,8090937.0,917477.0,0.0,-1375064.0,282849.0
ACE Tempest Life 14,855311.0,530293.0,1191106.0,185670.0,0.0,148300.0,12642.0
Zurich 14,7808.0,72241.0,10047.0,0.0,0.0,-69858.0,964.0
